Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
20000,1.5929693,2.820899402131531,1176.9373073027757,-0.023404231,-0.10275611055901568,-0.10275611055901568,0.08980447,0.037598237,9.989974e-06,0.19989976,0.009989983,1.0
40000,1.5960524,2.809581459702525,1140.877278199856,-0.03776595,-0.09517468008867022,-0.09517468008867022,0.088136,0.037405994,9.970181e-06,0.19970182,0.009970211,1.0
60000,1.5957354,2.808143547273982,1092.0144399186681,-0.051982008,-0.107229123863837,-0.107229123863837,0.08597629,0.03550979,9.950119e-06,0.1995012,0.009950169,1.0
80000,1.5951283,2.8071008984105044,1073.829278137077,-0.052235033,-0.09714927442073204,-0.09714927442073204,0.08626313,0.036953457,9.930067e-06,0.19930068,0.009930137,1.0
100000,1.5958402,2.796815834767642,1021.689505354621,-0.062484853,-0.10850258208747164,-0.10850258208747164,0.08613213,0.035411905,9.910006e-06,0.19910006,0.009910096,1.0
120000,1.596651,2.758591212173021,985.0565405006105,-0.060951512,-0.10170969402312131,-0.10170969402312131,0.09188916,0.03553019,9.889945e-06,0.19889943,0.009890054,1.0
140000,1.5687525,2.709120026972353,980.188450845853,-0.06323324,-0.10289952774618175,-0.10289952774618175,0.101150736,0.031807363,9.869894e-06,0.19869895,0.009870024,1.0
160000,1.5232173,2.6792153589315526,968.8468271099844,-0.06839341,-0.1145409013783693,-0.1145409013783693,0.10652649,0.03709436,9.849839e-06,0.19849837,0.009849987,1.0
180000,1.4565399,2.6511879049676024,933.9754315728114,-0.060324956,-0.0954311339487604,-0.0954311339487604,0.11545769,0.03606342,9.829781e-06,0.1982978,0.0098299505,1.0
200000,1.3750356,2.6462365591397847,891.6233007089305,-0.06351974,-0.10451612834155412,-0.10451612834155412,0.118177965,0.034249507,9.809987e-06,0.19809985,0.009810175,1.0
220000,1.2993422,2.632911392405063,841.7423223641582,-0.07139924,-0.11946407983579585,-0.11946407983579585,0.11925579,0.03532952,9.790194e-06,0.19790192,0.009790401,1.0
240000,1.2361815,2.6173636066644885,776.3306161477248,-0.07865495,-0.13028422060578682,-0.13028422060578682,0.12170353,0.03605689,9.770144e-06,0.19770142,0.00977037,1.0
260000,1.1782002,2.618060091443501,732.7043524590546,-0.08557616,-0.133180927327067,-0.133180927327067,0.122456685,0.0347417,9.750081e-06,0.19750078,0.009750327,1.0
280000,1.1467649,2.6111925708699903,704.6604494628747,-0.089942046,-0.14099055071021183,-0.14099055071021183,0.12095361,0.038102448,9.7300235e-06,0.19730021,0.00973029,1.0
300000,1.0777401,2.6062915518080105,622.4121943758249,-0.10134528,-0.14952164760440254,-0.14952164760440254,0.12122685,0.03411389,9.70997e-06,0.19709969,0.009710257,1.0
320000,1.0409534,2.5806946688206787,585.7958632789513,-0.09272703,-0.1356542807800608,-0.1356542807800608,0.1259877,0.034742806,9.6899075e-06,0.19689904,0.009690215,1.0
340000,0.9691732,2.555162999839409,542.3673939008665,-0.08343645,-0.12551790515569003,-0.12551790515569003,0.12827697,0.036540158,9.669855e-06,0.19669853,0.009670183,1.0
360000,0.919189,2.550907339007548,509.4545550361721,-0.0788236,-0.12063593943026775,-0.12063593943026775,0.12646946,0.034299616,9.649801e-06,0.19649798,0.0096501475,1.0
380000,0.8726184,2.55422557840617,490.41907215347317,-0.08898235,-0.13097686327725724,-0.13097686327725724,0.120926894,0.03643903,9.630003e-06,0.1963,0.00963037,1.0
400000,0.8533421,2.5551364365971105,459.7705780543841,-0.09428997,-0.1429695022873951,-0.1429695022873951,0.11945133,0.03333796,9.610207e-06,0.19610204,0.009610592,1.0
420000,0.8488258,2.603321335078534,394.9984511480504,-0.07080347,-0.10152159587002277,-0.10152159587002277,0.11707287,0.04089125,9.59016e-06,0.19590156,0.009590566,1.0
440000,0.87210536,2.6135504028942607,387.9860798431148,-0.05227441,-0.08345666690580235,-0.08345666690580235,0.1144846,0.036121886,9.570113e-06,0.19570109,0.009570539,1.0
460000,0.8969601,2.6010009845749917,355.63960366887807,-0.04218732,-0.07699376275236583,-0.07699376275236583,0.11701596,0.035944656,9.550061e-06,0.19550055,0.009550505,1.0
480000,0.9325727,2.596805896805897,317.902391398764,-0.039969437,-0.07954135798070394,-0.07954135798070394,0.1196204,0.03535985,9.529992e-06,0.19529986,0.009530458,1.0
500000,0.9424083,2.6065668202764978,301.03541100321036,-0.040069595,-0.07126398781134237,-0.07126398781134237,0.11479385,0.034692883,9.5099285e-06,0.19509925,0.009510413,1.0
520000,0.95474917,2.5921719235169145,284.5390507660217,-0.055086497,-0.10336656236394322,-0.10336656236394322,0.11512148,0.037027482,9.489876e-06,0.1948987,0.00949038,1.0
540000,0.95400023,2.58489489978817,267.7134879149484,-0.062218882,-0.1070555638359835,-0.1070555638359835,0.11812204,0.037201095,9.46982e-06,0.19469815,0.009470345,1.0
560000,0.95141447,2.5994755817764665,237.88109499462004,-0.057549898,-0.09759095286378427,-0.09759095286378427,0.11613021,0.035344556,9.45002e-06,0.19450016,0.009450565,1.0
580000,0.9460059,2.592019010160603,215.61282308059532,-0.049723666,-0.08841363368821473,-0.08841363368821473,0.12103082,0.032818757,9.43022e-06,0.19430214,0.009430782,1.0
600000,0.93737,2.560424428964847,199.1712631462724,-0.057179064,-0.10874777174755876,-0.10874777174755876,0.12675384,0.03524725,9.410169e-06,0.19410165,0.009410753,1.0
620000,0.92036796,2.5170318247241323,191.8103818954163,-0.06159513,-0.10697265196333651,-0.10697265196333651,0.1386657,0.03709649,9.3901235e-06,0.19390117,0.009390727,1.0
640000,0.8995775,2.4307560937742587,172.6341634673489,-0.07025906,-0.1338146240770715,-0.1338146240770715,0.15241557,0.03449894,9.370075e-06,0.1937007,0.009370699,1.0
660000,0.87049854,2.3806662610282934,152.0783929729871,-0.10459011,-0.16648919944197238,-0.16648919944197238,0.15740731,0.037785783,9.3500275e-06,0.19350022,0.0093506705,1.0
680000,0.84210324,2.3561064087061667,128.82077266520065,-0.10365474,-0.1587666255864512,-0.1587666255864512,0.16279708,0.035698652,9.329985e-06,0.1932998,0.00933065,1.0
700000,0.8196493,2.328078524687686,89.73458984216852,-0.15170392,-0.2230368836847694,-0.2230368836847694,0.1526356,0.035527993,9.3099425e-06,0.19309936,0.0093106255,1.0
720000,0.79474795,2.3436707917101534,-0.7556322621492808,-0.17726901,-0.2431042210085214,-0.2431042210085214,0.1429217,0.03628267,9.289884e-06,0.19289878,0.009290586,1.0
740000,0.7813594,2.3848425196850394,-31.47990387522716,-0.16111507,-0.22510599766010086,-0.22510599766010086,0.14126374,0.035618227,9.269836e-06,0.19269828,0.009270558,1.0
760000,0.7642648,2.413747878413825,-51.178976252341606,-0.109197326,-0.1520598668089492,-0.1520598668089492,0.14686382,0.033825934,9.249786e-06,0.19249776,0.009250528,1.0
780000,0.7343182,2.387565324316016,-57.8411701666523,-0.070190914,-0.12325545505165614,-0.12325545505165614,0.15937927,0.03509862,9.230001e-06,0.19229993,0.009230762,1.0
800000,0.7082881,2.3511514412078696,-72.9618252221154,-0.035685807,-0.08865334487064085,-0.08865334487064085,0.17156671,0.03550089,9.210205e-06,0.19210199,0.009210986,1.0
820000,0.68921536,2.3480684073904414,-70.08514122707206,-0.015219147,-0.07214841643536904,-0.07214841643536904,0.17403674,0.037976004,9.190157e-06,0.1919015,0.009190959,1.0
840000,0.6835873,2.3319385270846014,-81.88695257345421,-0.0011786657,-0.059525255039016865,-0.059525255039016865,0.18149675,0.037968554,9.170101e-06,0.19170095,0.009170924,1.0
860000,0.66807383,2.310261080752884,-86.85028492501858,0.027629046,-0.0241499648943462,-0.0241499648943462,0.18330713,0.03585908,9.150057e-06,0.1915005,0.009150899,1.0
880000,0.6595519,2.271503759398496,-79.86900402002077,0.054340146,-0.004977438072288843,-0.004977438072288843,0.1948158,0.035841227,9.130015e-06,0.19130005,0.009130876,1.0
900000,0.64560455,2.200430075633991,-59.85823532001542,0.0995659,0.04862821444782856,0.04862821444782856,0.20576058,0.03478115,9.109974e-06,0.19109966,0.009110855,1.0
920000,0.6192957,2.1543805762761443,-30.33086487808502,0.1168673,0.05375165330796139,0.05375165330796139,0.21739207,0.035898227,9.08993e-06,0.19089921,0.009090831,1.0
940000,0.60795444,2.145027019132467,-12.760155437867763,0.12801969,0.06503579031272894,0.06503579031272894,0.21625641,0.03700671,9.069878e-06,0.19069868,0.009070799,1.0
960000,0.58816,2.118839947666812,27.05552662439832,0.149777,0.08790522777080224,0.08790522777080224,0.22133125,0.033160545,9.04983e-06,0.19049822,0.009050771,1.0
980000,0.5753955,2.1083501878069923,63.63395663455309,0.14655758,0.07185785318473212,0.07185785318473212,0.22557773,0.03684383,9.029786e-06,0.19029777,0.009030745,1.0
1000000,0.5623696,2.091528096330275,96.66001284355325,0.1283317,0.04895356311697786,0.04895356311697786,0.2336736,0.033958655,9.009997e-06,0.19009988,0.009010976,1.0
1020000,0.55061287,2.0810714285714287,115.7053436464658,0.12767063,0.047485722377896306,0.047485722377896306,0.23772712,0.03551903,8.990205e-06,0.18990193,0.008991205,1.0
1040000,0.53148603,2.0674445076835517,128.74128127212708,0.1271531,0.04965851703784855,0.04965851703784855,0.23788156,0.034485444,8.970163e-06,0.18970154,0.0089711845,1.0
1060000,0.5187698,2.0529553167420813,184.4018030421143,0.12146548,0.03540724772133978,0.03540724772133978,0.24614562,0.035165988,8.950128e-06,0.1895012,0.008951167,1.0
1080000,0.510039,2.044338431317525,200.17541498104836,0.09647544,0.003676168176290513,0.003676168176290513,0.24969852,0.034160912,8.930088e-06,0.18930078,0.008931148,1.0
1100000,0.5042868,2.043158925573587,225.41624378196911,0.07670225,-0.01710967451363185,-0.01710967451363185,0.2518457,0.03538267,8.91004e-06,0.1891003,0.00891112,1.0
1120000,0.49925098,2.0448386646179633,234.0409753414088,0.060168304,-0.029277825922935364,-0.029277825922935364,0.24746132,0.03479898,8.889993e-06,0.18889983,0.008891092,1.0
1140000,0.4925058,2.059851248947516,251.5195996940584,0.054076344,-0.03751051900926648,-0.03751051900926648,0.2455056,0.0369531,8.869947e-06,0.18869935,0.008871066,1.0
1160000,0.49731007,2.055135740274279,238.9341684088381,0.039752703,-0.045074161713467974,-0.045074161713467974,0.24677643,0.032981955,8.849902e-06,0.1884989,0.008851039,1.0
1180000,0.49430123,2.052951874650252,261.7080981614541,0.048226845,-0.04050083359089489,-0.04050083359089489,0.2460822,0.0351383,8.829858e-06,0.18829846,0.008831016,1.0
1200000,0.501958,2.0504874651810585,261.5728267680472,0.025398118,-0.0714763181891116,-0.0714763181891116,0.24625543,0.033756446,8.809811e-06,0.18809798,0.0088109905,1.0
1220000,0.51241577,2.1125106142088876,255.4125865875772,-0.015188147,-0.09950466646672881,-0.09950466646672881,0.22584553,0.035749424,8.790031e-06,0.1879002,0.008791229,1.0
1240000,0.52049667,2.203227213257741,234.1045458476995,-0.03199971,-0.11715365332722023,-0.11715365332722023,0.19861157,0.03422687,8.770246e-06,0.18770233,0.008771462,1.0
1260000,0.53253794,2.3306390693458225,228.46744633138493,-0.048080277,-0.12390088960854807,-0.12390088960854807,0.16548146,0.032703698,8.750198e-06,0.18750185,0.008751432,1.0
1280000,0.5363447,2.5495328608247423,196.45474963942044,-0.08356283,-0.1454574744788373,-0.1454574744788373,0.11568149,0.03261205,8.73015e-06,0.18730138,0.008731405,1.0
1300000,0.49360722,2.852723426758329,174.8232333145681,-0.074344195,-0.11752159486771176,-0.11752159486771176,0.0711961,0.03547114,8.71009e-06,0.18710078,0.008711367,1.0
1320000,0.48318827,2.999543545736717,139.6181528488387,-0.06232172,-0.09631185085179925,-0.09631185085179925,0.049984705,0.03308428,8.690032e-06,0.18690018,0.0086913295,1.0
1340000,0.47642472,3.0282131661442007,152.25662487232805,-0.051091928,-0.08288770170943138,-0.08288770170943138,0.04467519,0.036206085,8.669969e-06,0.18669955,0.008671286,1.0
1360000,0.48566127,3.0312039764359353,91.67563347484227,-0.060320135,-0.09120029586590882,-0.09120029586590882,0.041642774,0.037499506,8.649914e-06,0.18649901,0.00865125,1.0
1380000,0.49511176,3.0001820167455406,61.06374368277045,-0.073203295,-0.1117036783620905,-0.1117036783620905,0.04198629,0.03392557,8.629855e-06,0.18629842,0.008631211,1.0
1400000,0.50853616,2.987288905029962,9.955595412727238,-0.082388915,-0.11459960216469961,-0.11459960216469961,0.039002486,0.033477787,8.610041e-06,0.18610027,0.008611416,1.0
1420000,0.51657283,3.01215499908609,-64.37201591158986,-0.08720604,-0.10901115126288193,-0.10901115126288193,0.033981945,0.03450386,8.590222e-06,0.18590209,0.008591618,1.0
1440000,0.5119035,3.028736687477047,-113.75512868722164,-0.086747244,-0.10293793758179745,-0.10293793758179745,0.027406115,0.03629274,8.570164e-06,0.18570147,0.00857158,1.0
1460000,0.5116333,3.0061064527889174,-161.81153085740635,-0.09740643,-0.11288735123145463,-0.11288735123145463,0.026053172,0.034395777,8.550098e-06,0.18550083,0.008551533,1.0
1480000,0.55243266,2.9731038192576653,-234.92472970996462,-0.12861498,-0.14142012028753362,-0.14142012028753362,0.029165698,0.03427737,8.530041e-06,0.18530028,0.008531496,1.0
1500000,0.65267116,2.9646719538572457,-302.0639071754515,-0.07422152,-0.09174477362168634,-0.09174477362168634,0.0484684,0.03890835,8.509983e-06,0.18509969,0.008511459,1.0
1520000,0.64915776,2.9451797531747452,-309.250211824466,-0.08087989,-0.09976748420660835,-0.09976748420660835,0.048601683,0.03240396,8.489933e-06,0.1848992,0.008491429,1.0
1540000,0.65297604,2.9465020576131686,-409.10659766289206,-0.08084942,-0.09847915622091268,-0.09847915622091268,0.049145166,0.03602955,8.469871e-06,0.18469855,0.008471386,1.0
1560000,0.68725353,2.971366437114897,-436.543416330653,-0.041593563,-0.04967379449161553,-0.04967379449161553,0.055384286,0.0351324,8.449809e-06,0.18449794,0.0084513435,1.0
1580000,0.6883712,2.9677215189873416,-453.2734947428152,-0.038378675,-0.05486437586181634,-0.05486437586181634,0.055409025,0.037012983,8.430006e-06,0.1842999,0.00843156,1.0
1600000,0.69111043,2.9695707299402283,-500.22896206295917,-0.037095312,-0.049411338155327056,-0.049411338155327056,0.054735344,0.036072843,8.410199e-06,0.18410182,0.008411774,1.0
1620000,0.6952549,2.9562353365818446,-509.8360818263438,-0.037325934,-0.055188593833675845,-0.055188593833675845,0.055891164,0.03582114,8.390136e-06,0.1839012,0.008391729,1.0
1640000,0.69967383,2.9560251798561152,-572.3441725930128,-0.052480914,-0.0687230215696015,-0.0687230215696015,0.055498675,0.036858995,8.370072e-06,0.18370056,0.008371686,1.0
1660000,0.7054344,2.9411079239870923,-612.7693575377752,-0.05210831,-0.07102904268418558,-0.07102904268418558,0.057316225,0.035139296,8.350014e-06,0.18349998,0.008351646,1.0
1680000,0.7102115,2.920620763467713,-646.7476680427551,-0.054035906,-0.07418836963296872,-0.07418836963296872,0.060265254,0.03473339,8.32995e-06,0.18329933,0.008331603,1.0
1700000,0.7145288,2.8986893375841305,-656.4839349119296,-0.056343075,-0.07770102721709247,-0.07770102721709247,0.063719355,0.037702125,8.309886e-06,0.1830987,0.008311559,1.0
1720000,0.7164615,2.8887614678899083,-726.159054929702,-0.065879226,-0.0859738885869989,-0.0859738885869989,0.06351491,0.032536533,8.289829e-06,0.18289812,0.008291522,1.0
1740000,0.7176091,2.8910199752519,-765.8943525582099,-0.06184866,-0.08037829238033051,-0.08037829238033051,0.063825704,0.034640264,8.270032e-06,0.18270014,0.0082717445,1.0
1760000,0.7165198,2.8896229739252997,-825.0753265652237,-0.07298966,-0.09561310814190827,-0.09561310814190827,0.062616356,0.034548186,8.250223e-06,0.18250206,0.008251955,1.0
1780000,0.7191715,2.878513703443429,-886.9455393245206,-0.07489564,-0.09880534122558605,-0.09880534122558605,0.0637024,0.03597973,8.230164e-06,0.18230148,0.0082319155,1.0
1800000,0.72700846,2.867302309307208,-915.0072251241139,-0.08192829,-0.10517844691757892,-0.10517844691757892,0.06474493,0.03437612,8.210107e-06,0.18210089,0.008211879,1.0
1820000,0.7325211,2.8551393728222996,-977.119331306047,-0.08649376,-0.11059233501605456,-0.11059233501605456,0.06688481,0.034160376,8.190061e-06,0.18190044,0.008191853,1.0
1840000,0.7362908,2.8398613518197573,-1005.145330005645,-0.09151714,-0.12081455878229033,-0.12081455878229033,0.067834735,0.036470927,8.170004e-06,0.18169986,0.008171815,1.0
1860000,0.7421601,2.827857513401349,-1037.634545301754,-0.092079,-0.12062943177035208,-0.12062943177035208,0.07085165,0.034928832,8.149941e-06,0.18149924,0.008151774,1.0
1880000,0.74620086,2.817523283890997,-1104.215541176405,-0.09371517,-0.12136943838917293,-0.12136943838917293,0.072652034,0.0361105,8.129887e-06,0.1812987,0.008131739,1.0
1900000,0.7514176,2.7906143344709897,-1165.8974640762817,-0.10561436,-0.14269624677941253,-0.14269624677941253,0.07432463,0.03548616,8.109835e-06,0.18109816,0.008111707,1.0
1920000,0.7538271,2.788782816229117,-1244.5479962302338,-0.112578526,-0.1488578259751856,-0.1488578259751856,0.074016504,0.035486672,8.0900445e-06,0.18090026,0.008091935,1.0
1940000,0.75628346,2.7834665759482906,-1304.143027564439,-0.117907494,-0.1529171640171569,-0.1529171640171569,0.07663876,0.04005535,8.070245e-06,0.18070224,0.008072154,1.0
1960000,0.7671536,2.7505888290713325,-1342.808886112103,-0.12529589,-0.16835464480361859,-0.16835464480361859,0.07954346,0.035386775,8.05019e-06,0.1805017,0.008052121,1.0
1980000,0.77155066,2.7534973874936792,-1442.8229556456117,-0.12375271,-0.16430136664870534,-0.16430136664870534,0.07963135,0.033422876,8.030123e-06,0.18030103,0.008032073,1.0
2000000,0.7770792,2.7468503275659333,-1504.6134580995292,-0.13334812,-0.17495380642257696,-0.17495380642257696,0.07851162,0.034852803,8.010064e-06,0.18010044,0.008012033,1.0
2020000,0.77887166,2.7399129415704,-1594.2288962288987,-0.13957222,-0.1818684095798396,-0.1818684095798396,0.078649364,0.03626354,7.9900055e-06,0.17989986,0.007991994,1.0
2040000,0.7883719,2.7115990057995027,-1664.8277354412942,-0.15289205,-0.19797846098131844,-0.19797846098131844,0.080284245,0.034322605,7.969946e-06,0.17969926,0.0079719545,1.0
2060000,0.79116565,2.6915279380253834,-1754.323654549143,-0.1536899,-0.19779133200596324,-0.19779133200596324,0.08568462,0.033066,7.949893e-06,0.17949872,0.007951922,1.0
